상품명,Cupping Note 향미,Cupping Note 산미,Cupping Note 단맛,Cupping Note 바디감,Cupping Note 밸런스,Roasting Point,origin,text,로스터리,평점,리뷰 수
콜롬비아 디카페인 에스프레소,,2,10,8,,7.0,콜롬비아,다크 초콜릿의 단맛과 감초의 스파이시함 블랙티의 여운이 좋습니다.,리플렉트 커피 로스터스,,
카넬리안 블렌드,,4,8,6,,6.0,"과테말라, 인도, 에티오피아",녹진하게 느껴지는 초콜릿 뉘앙스 뒤에 고소함이 잘 나타납니다. 입안에 남는 단 향의 마무리가 좋으며 텁텁하지 않은 깔끔함이 좋습니다.,필리그리커피,,
아이보리 블렌드,,6,8,8,,6.0,"브라질, 콜롬비아",고소한 구운 견과류의 늬앙스 그리고 우유와 만났을때의 달달함으로 데일리커피로 딱 알맞은 커피입니다.,180커피로스터스,,
프라이데이,,6,8,10,,6.0,"콜롬비아, 에티오피아, 브라질","다크 블렌드 커피로, 단맛과 바디감에 초점을 둔 커피입니다. 라와 밀크베이스 커피에도 잘 어울리며, 베이커리, 디저트용 커피로써도 훌륭합니다.",센터 커피,,
과테말라 안티구아 디카페인,,2,8,8,,7.0,과테말라,다크초콜릿의 단맛과 묵직한 바디감이 느껴집니다.,리버벨,,
웰컴블렌드,,2,8,8,,6.0,"브라질, HU-10, 코케","편안한 커피 한잔으로 시작하는 하루를 선물합니다. 견과류의 고소함과 단맛은 누구나 이 커피를 즐기기에 충분합니다. 밀크초콜릿, 절제된 산미 그리고 긴 여운이 특징이며 블랙,화이트 어느 조합으로도 잘 어우러지는 커피입니다.",땡큐로스터스,,
콜롬비아 엑셀소 EP 디카페인 마운틴 워터,,2,6,6,,6.0,콜롬비아,"멕시코에서 가장 높은 화산 빙하의 맑고 깨끗한 물로 7번의 까다로운 공정을 거쳐 카페인을 99.9% 제거 했으며, 임산부와 카페인에 예민하신 분께 추천합니다. * 이일용 로스터의 한마디 * 디카페인이 맛 없다는 편견은 이제는 버려야합니다. 4년 전 이 원두를 만나고 저 역시 그 편견을 버렸습니다. 에스프레소 용도로 로스팅하였으니 걱정말고 다양한 에스...",커넥츠커피,,
F 블렌드,,4,8,8,,6.0,"브라질, 콜롬비아","단맛과 풍미에 중점을 둔 중강배전의 블렌딩 원두입니다. 견과류의 고소함과 캐러멜, 사탕, 다크초콜릿의 단맛, 후미의 쌉싸름함까지 복합적인 단맛을 가진 것이 특징입니다.",리플로우 커피 로스터스,,
디카페인 과테말라 블렌드,,6,4,8,,6.0,과테말라,비옥한 화산 토양의 묵직하고 지속적이면서도 깊은 여운의 향미를 느끼실 수 있습니다.,디카커피랩,,
스프링 블렌드,,8,6,6,,5.0,"에티오피아, 콜롬비아, 코스타리카","겨울이 끝나고, 드디어 찾아온 따뜻하고 기분 좋은 봄바람을 타고 코속을 간지리는 기분 좋은 꽃 향과 같은 블렌드 커피라고 자부할 수 있는 향긋한 커피입니다. 청포도의 산뜻한 향과 입안에서 달콤하게 느껴지는 꿀의 단맛과 함께 사과의 기분 좋은 산미로, 이름 그대로 봄이 생각나는 향긋한 산미의 커피입니다. 산미있는 커피를 추구하는 커피이거나, 고소한 ...",커스프 커피,,
콜롬비아 디카페인,,6,8,4,,6.0,콜롬비아,초콜릿티한 달콤함과 좋은 단맛으로 누구나 마시기 편한 커피입니다.,피어 커피로스터스,,
디카페인 블렌드,,2,6,8,,7.0,"과테말라, 에티오피아","마운틴 워터 프로세스 과정을 통해 카페인을 제거하였으나, 맛과 향미는 더욱 풍부한 웨이브온만의 디카페인 커피입니다. 미디엄 바디에 부드러운 질감, 아몬드와 같은 견과류의 고소함과 브라운슈가의 단맛이 매력적인 디카페인 커피입니다.",웨이브온 커피,,
풍요로운 땅,,6,8,8,,7.0,"브라질, 콜롬비아","누구나 편안히 마실 수 있는 커피로, 달콤쌉싸름하고 입 안 마무리는 시원함을 느낄 수 있어요.",나무사이로,,
콜롬비아 디카페인,,4,8,8,,6.0,콜롬비아,언더프레셔가 로스팅한 고품질의 콜롬비아 디카페인 원두입니다. '마운틴 워터 프로세스'를 거쳐 카페인을 제거했음에도 생두 본연의 폭발적인 풍미를 유지하고 있습니다. 미디엄 로스팅 과정을 통해 발현되는 산뜻하고 달콤한 톤의 긴 여운이 특징입니다.,언더프레셔,,
오버타임,,2,10,10,,6.0,"브라질, 과테말라, 에티오피아","묵직하고 견고한 바디를 위해 미디엄 다크로 로스팅 했습니다. 말린 과일의 풍미와 부드러운 촉감과 균형감, 달콤한 초콜릿의 풍미로 마무리됩니다.",폰트커피,,
Classic Plus Blend,,2,10,10,,7.0,"콜롬비아, 과테말라, 코스타리카",FELT가 말하는 클래식 이상의 클래식 입니다. 카카오닙스의 부드러운 쓴맛과 다크 초콜릿의 풍미가 어우러집니다. 묵직하게 입 안에 꽉 차는 강배전 에스프레소 블렌드입니다.,펠트,,
에티오피아 코케 허니 예가체프 G1,,8,10,6,,6.0,에티오피아,"복숭아와 같은 쥬시함과 단맛이 좋고, 마지막까지 깔끔한 느낌이 좋습니다.",식물학 커피로스터스,,
콜롬비아 엘 카르멘 워시드,,4,10,8,,5.0,콜롬비아,고소한 견과류의 단맛과 사과의 상큼함이 있는 커피입니다.,보난자커피 코리아,,
상큼한초밥 블렌딩,,6,6,6,,6.0,"브라질, 에티오피아","상큼한 초밥은 상큼함과 고소함이 공존하는 초밥을 모티브로 제작되었습니다. 커피에서 가장 호불호 강한 신맛을 모든 사람이 좋아할만한 대중적인 맛으로 어떻게 변화시킬까? 라는 의문에 평소 즐겨먹던 초밥을 떠올렸습니다. 초밥은 고소한 흰쌀밥에 새초롬한 식초를 더해 감칠맛을 더해주는데, 즉 고소함에 상큼함을 더하면 굉장히 땡기는 신맛이 된다는 걸 깨닫고 커...",원더월 커피 로스터스,,
비터스윗 라이프 에디션2,,2,8,10,,7.0,"인도, 에티오피아, 콜롬비아",보다 높은 바디감과 묵직한 단맛을 원하시는 분들에게 추천합니다. 비터스윗라이프 에디션1과 동일한 블렌딩으로 배전도를 높여 소개합니다.,커피 몽타주,,
케냐 가탕가리리 AA,,8,10,6,,2.0,케냐,청사과 향과함께 자몽과 오렌지가 연상되는 쥬시한 커피입니다.,카페플롬,,
파나마 페리엔 게이샤 워시드,,6,8,6,,4.0,파나마,"클래식한 게이샤 커피. 향긋한 자스민의 향, 오렌지 산미, 머스캣의 풍미, 여운에선 독특한 녹차의 향을 가진 커피입니다.",오프사이트,,
Decaf 디카페인,,8,8,8,,5.0,콜롬비아,"디카페인인지 모를정도로 풍부한, 끈적하고 달콤한 꿀같은 맛이예요.",클라리멘토,,
과테말라 우에우에테낭고 디카페인,,2,6,6,,5.0,티피카 (Typica),견과류의 고소함과 밸런스,UFO 커피로스터스,,
디카프 슬럽,,6,8,6,,5.0,콜롬비아,천연사탕수수공법을 이용해 카페인을 제거한 E.A. 카우카 디카프 고소하고 깔끔한 맛,슬러핀 커피,,
블렌드 너티 퍼플,,2,8,8,,6.0,"브라질, 콜롬비아, 인도","대중적인 입맛에 맞지만 더욱 풍부한 향과 부드러움을 내는 블렌드입니다. 보리차와 같은 고소한 맛을 내며 콜롬비아의 감칠맛과 브라질의 단맛을 적절히 블렌드하여 균형감이 좋습니다. 풍부하고 부드러운 크레마는 보기만해도 입맛이 돕니다. 산미는 거의 없으며, 아메리카노나 라떼 베리에이션 등 고소함을 강조하고 싶을 때 사용하기에 좋습니다. 호불호 갈리지 않는 ...",리프커피,,
스너그 하우스 디카페인 블렌드,,4,10,8,,6.0,"페루, 콜롬비아","""Snug house"" 블렌드는 편안하고 포근한 집을 상상하게 합니다. 지친 하루를 끝내고 집으로 돌아왔을 때 맛있는 음식과 포근한 침대가 반겨주듯이 부담스럽지 않은 달달하고 고소한 향미들이 오롯이 편안하고 포근한 휴식을 취할 수 있도록 도와줍니다.",간결 커피 로스터스,,
에티오피아 시다마 벤사 케라모 워시드,,8,6,2,,2.0,에티오피아,오렌지 상큼한 향과 깔금하고 고급스러운 단맛이 느껴지는 커피입니다.,싸인포스트커피,,
피타 블렌드,,6,8,6,,6.0,"과테말라, 콜롬비아, 에티오피아",고품질의 마이크로랏 생두 위주로 블렌딩하여 스페셜티의 신세계를 경험할 수 있습니다. 신맛과 고소한맛 짙은 농도의 밸런스가 잘 잡힌 커피입니다.,하우트 커피컴퍼니,,
엘리 크릭,,6,4,6,,6.0,"콜롬비아, 브라질, 과테말라, 에티오피아",풍부한 단맛과 부드러운 질감을 갖춘 밸런스가 돋보이는 매력적인 커피,프레이저 커피,,
과테말라 디카페인 마운틴워터 프로세스,,6,8,8,,6.0,과테말라,헤이즐넛 같은 고소함과 초콜릿의 단맛이 느껴져요.,리밀커피,,
모노톤,,2,8,8,,6.0,"과테말라, 브라질, 에티오피아, 인도네시아, 에티오피아",깊은 단맛을 품고있어 바닐라시럽이나 초코시럽과 만나면 보다 깊고 풍부한 단맛을 가진 라떼를 맛보실수 있어요.,그럼블 커피로스터스,,
비숲,,2,6,6,,7.0,"인도, 에티오피아","건자두, 사과와 같은 느낌이며 토피넛, 초콜릿의 단맛을 경험할 수 있습니다.",애크로매틱 커피 컴퍼니,,
리볼브,,6,10,6,,5.0,"브라질, 콜롬비아, 과테말라","밀크초콜릿, 헤이즐넛의 풍부한 단맛. 감귤류의 은은한 산미와 감미롭고 부드러운 여운의 훌륭한 균형감을 느낄 수 있습니다.",히떼 로스터리,,
마이 로맨스,,8,8,6,,5.0,"과테말라, 에티오피아",마이로맨스는 그 이름에서 느껴지듯이 산뜻하고 부드러운 느낌의 블랜드입니다. 에스프레소 블렌드이지만 브루잉으로도 충분히 즐길 수 있습니다. CQI의 Q-Grader이자 SCA CSP Diploma인 브니엘 커피 로스터스 대표가 직접 생두를 선별하여 정성껏 로스팅 하였습니다. 오렌지의 향긋한 향과 딸기와 라즈베리 그리고 달콤하고 부드러운 마시멜로 같은 ...,브니엘 커피로스터스,,
2nd WAVE : Customizing,,6,8,8,,6.0,"브라질, 에티오피아, 인도네시아",뉴웨이브의 대표 블렌드로써 감귤 초콜릿을 먹는 듯 균형잡힌 산미와 단맛으로 거부감 없이 입맛을 즐겁게 합니다.,뉴웨이브 커피로스터스,,
보이져,,8,8,6,,5.0,"온두라스, 에티오피아, 에티오피아",ㅁㅜㄹㅡㅇㅣㄱㅇㅡㄴ ㄱㅘㅇㅣㄹㅇㅢ ㅅㅏㄴㅁㅣ가 ㄷㅏㄹㅋㅗㅁ해요. ㅍㅜㅇㅂㅜㅎㅏㄴ ㄲㅗㅊ ㅎㅑㅇㅇㅣ ㅁㅐㄹㅕㄱㅈㅓㄱㅇㅣㄴ ㅅㅡㅌㅣㅁㅓㅅㅡ의 ㅅㅣㄱㅡㄴㅣㅊㅓ ㅂㅡㄹㄹㅔㄴㄷㅡㅇㅣㅂㄴㅣㄷㅏ.,스티머스 커피팩토리,,
카펜터,,6,8,6,,6.0,"과테말라, 브라질, 콜롬비아","잘 익은 오렌지와 자두의 뉘앙스부터 흑설탕과 달콤 쌉싸름한 다크 초콜릿의 뉘앙스까지 넓은 스펙트럼의 맛을 느낄 수 있고, 밸런스가 좋은 블렌드예요.",커피 앰비언스,,
나탈리,,6,10,4,,5.0,"파푸아뉴기니, 엘살바도르, 코스타리카","잘 익은 딸기를 베어 문듯한 단맛과 적당한 산미의 조화를 이루는 와인의 풍미를 느낄 수 있어요. 블렌딩에 최적화된 좋은 생두를 선별하고, 일관성 있고 논리적인 로스팅을 추구합니다. 결점두를 직접 선별하여 패키징 하는 등 최상의 품질을 위해 노력합니다.",영앤도터스,,
SANTA ISABEL(산타 이사벨),,4,4,6,,6.0,"콜롬비아, 브라질","볶은 아몬드와 다크초콜릿의 고소한 맛에 풍부한 바디와 깔끔하고 균형 잡힌 풍미와 긴 여운, 스페셜티의 개성을 담은 시트러스 풍의 부드러운 산미가 완벽한 균형을 보여줍니다. 자극적이지 않고 편안한 맛을 추구하시는 분들께 드리는 스페셜티 블렌드, 산타 이사벨입니다.",마그마커피,,
콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,,8,8,6,,2.0,콜롬비아,밝고 경쾌한 베리류의 향미와 단맛이 기분좋게 남는 커피,카페소소한사치,,
모리 티티알 로부스타 TR9,,4,8,8,,5.0,베트남,"아몬드, 블랙커런트, 카카오",라까프,,
폴라베어 블랜딩,,6,10,8,,4.0,문타샤,새콤 달콤한 원두로 쥬시하면서도 단맛 바디가 풍부한 커피볶는곰의 산뜻함을 담당하는 라이트 배전 원두 입니다.,커피볶는곰,,
피크 블렌드,,2,10,10,,6.0,"Santa, Supremo, SHB, Wahana, Kua",크림같은 질감과 견과류의 고소함과 다크초콜릿의 달콤 쌉싸름함,헬퍼 스튜디오,,
리허설,,4,6,6,,6.0,"과테말라, 브라질, 에티오피아",다크초콜릿의 쌉쌀함과 잘 익은 과일의 단맛의 여운이 있는 밸런스가 좋은 블렌드입니다.,크래커스 커피 로스터스,,
고독,,2,8,10,,6.0,"EL, COSTARICA, BRZIL, INDIA",진하게 볶은 견과류의 스모키한 고소함과 목 넘김 후 카라멜 같은 단맛을 느낄 수 있습니다.,오이르 로스터스,,
콜롬비아 슈가케인 디카페인,,2,8,8,,7.0,콜롬비아,사탕수수 추출 성분을 매개로 디카페인 처리를 한 콜롬비아 엑셀소 디카페인 커피입니다. 디카페인 생두중 가장 맛있습니다,저스트로스터,,
블랙 블렌드,,6,8,10,,7.0,"케냐, 케냐, 브라질, 과테말라, 콜롬비아",흑맥주를 마시는 듯한 쌉싸름함과 뒤에 올라오는 단 여운,레인디어,,
모노그램(Mono Gram),,6,10,6,,6.0,"Guatemala, Ethiopia, Brazil, Kenya",총 4 국가의 생두를 블랜딩하여 하나로 어우러지는 맛을 표현했습니다. 견과류의 고소함이 특징인 브라질 커피를 베이스로 밀크초콜릿을 연상하게 하는 부드러운 맛이 매력적입니다. 데일리 커피로 추천합니다.,그린마일커피,,
시그니처 블랜드 언타이틀드,,6,10,6,,5.0,에피오피아,"살구, 블루베리, 그리고 탠저린의 풍부한 향미가 어우러져 산뜻한 단맛과 함께 부드러운 향기를 느끼실 수 있습니다.",라운지엑스,,
허니서클 블렌드,,4,8,6,,5.0,"브라질, 코스타리카",씨리얼의 고소함과 메이플시럽 같은 단맛이 잘 어우려져 있으며 끝 맛은 깔끔해 누구나 좋아할 커피,어나더룸,,
디카페인 에티오피아 짐마,,4,8,6,,6.0,에티오피아,"무겁지 않은 바디감과 카라멜의 단맛,청포도와 같은 가벼운 산미가 주는 균형잡힌 디카페인 커피로 부드러운 목넘김이 특징인 커피입니다.",보사노바 커피로스터스,,
에티오피아 고로,,6,8,6,,4.0,에티오피아,"새콤한 과일의 느낌이 지배적이고, 은은한 단맛과 깔끔한 애프터 테이스트가 매력적인 커피",알렉스더커피,,
캠프파이어 블렌드,,6,6,6,,5.0,"브라질, 콜롬비아, 과테말라","NSWF 시그니처 블렌드이자 복합적인 향미를 균형감 있게 나타내는데 중점을 둔 커피입니다. 은은한 산미, 이를 뒤따르는 단맛의 보드라운 질감이 긴 여운으로 잔잔하게 입안을 감돕니다. 어떤 요소 하나 두드러짐 없는 편안한 커피를 의도하였습니다. 누구나 매일 마시기 좋은 데일리 커피로 추천합니다.",노스모크위드아웃파이어,,
에티오피아 시다마 벤사 케라모 내추럴,,8,8,4,,4.0,에티오피아,"밝은 계열의 과일향과 맛이 좋습니다. 베리 계열 같은 아로마를 시작으로 과일캔디 같은 단맛, 후미엔 과일 향기가 천천히 느껴집니다.",프로토콜 로스터스,,
테베 부르카 싱글 버라이어티,,8,8,4,,5.0,에티오피아,얼 그레이 홍차의 향긋함과 망고스틴의 달콤함이 아주 좋아요.,앤써커피,,
그린 블렌딩 커피,,6,8,8,,6.0,"에티오피아, 콜롬비아, 브라질, 과테말라",부드러운 단맛과 고소한 풍미가 밸런스가 좋습니다. 좋은 균형감이 매일 마시기 편안한 커피입니다.,링크 커피 로스터스,,
콜롬비아 디카페인,,6,8,8,,6.0,콜롬비아,"산뜻한 건과일 플레이버 뒤로 이어지는 토피넛과 코코아의 달콤함으로, 안정된 밸런스를 가진 디카페인 커피입니다.",하늘에커피,,
데일리뷰티 블렌드,,4,8,8,,5.0,"콜롬비아, 에티오피아, 인도",은은하게 퍼지는 산미와 초콜릿의 단맛이 느껴져요,수수커피,,
BEIGE 블랜드,,8,10,6,,2.0,"에티오피아, 에티오피아","오렌지쥬스 같은 질감과 화사하고 가벼운 느낌의 바디감, 가볍게 하루를 깨우고 싶으시다면, 이 원두와 함께 시작하시는걸 굉장히 추천드립니다.",컬러드 빈,,
오드 블렌드,,6,8,6,,5.0,"에티오피아, 코스타리카, 에티오피아, 콜롬비아",달달한 단감의 단맛이 길게 이어지는 커피로 끝 맛은 진한 홍차처럼 느껴져요.,오드이븐,,
인도 마이소르 너겟 엑스트라 볼드,,2,10,10,,7.0,인도,"오일이 보일정도의 다크 로스팅입니다. 다크 초콜릿, 갈색설탕의 단맛이 좋으며, 볶은 견과류와 바디감이 풍부한 커피입니다.",베러로스팅랩,,
DCW 블렌드,,4,6,4,,5.0,"콜롬비아, 에티오피아, 과테말라","단맛과 고소한 맛을 중심으로 한 방울 떨어뜨린 듯 은은한 산미까지, 풍성한 향미가 둥글게 다가옵니다.",디카프워크룸,,
나폴리,,8,10,8,,5.0,"에티오피아, 브라질, 콜롬비아",볶은 아몬드의 고소함과 신선한 과일의 산미가 느껴져요.,선빌리지 커피,,
블랙 앤 모어,,2,8,10,,7.0,"과테말라, 브라질, 콜롬비아",묵직한 바디감과 긴 여운을 가지고 있어 클래식한 커피를 좋아하는 분들께 추천 드립니다.,토치커피,,
66도 블렌드,,2,6,6,,5.0,"과테말라, 콜롬비아, 에티오피아",처음 마셨을 때 밀크 초콜릿의 뉘앙스와 끝에 남는 상큼함이 깔끔하게 잡아주는 블랜딩. 적당한 바디감과 감귤같은 산미가 잘 어우러져 여운이 긴 것이 특징이며 산미를 싫어하시는 분들도 쉽게 접하기 좋은 매력적인 커피입니다.,55도 커피로스터스,,
클래식 블렌드,,6,8,6,,5.0,"콜롬비아, 엘살바도르",엘카페커피로스터스의 대표 블렌드로 매일 마셔도 질리지 않는 균형잡힌 맛입니다.,엘 카페 커피로스터스,,
콜롬비아 디카페인,,2,8,6,,7.0,콜롬비아,비정제 설탕의 단맛과 토스트 맛이 나요. 카카오의 고소한 향미가 느껴집니다.,502 커피로스터스,,
#65-scale,,8,6,4,,4.0,"에티오피아, 에티오피아",한 잔의 와인을 머금은 듯 느껴지는 베리의 산뜻한 산미와 깔끔한 끝 맛이 마치 잘 고른 티를 우려 낸 것처럼 풍미가 가득합니다.,인더매스,,
디 카페인 블렌드,,2,8,8,,6.0,"콜롬비아, 과테말라","밀크초콜릿과 카라멜의 단맛에 구운 견과류의 고소함이 더해져서, 부드럽고 편안해요.",도화아파트먼트,,
콜롬비아 디카페인,,4,8,6,,5.0,콜롬비아,"견과류의 고소함과 다크초콜릿, 카카오 닙스의 달콤쌉싸름함이 매력적인 디카페인 커피입니다.",스탠딩커피,,
디카페인 과테말라 SHB 싱글오리진,,6,6,6,,6.0,과테말라,"마운틴 워터 프로세스 방식으로 카페인은 제거되고 생두가 지니고 있던 본래의 향미와 풍미는 온전히 남아있는 디카페인 커피입니다. 고구마, 브라운슈가, 밀크초코렛의 향미를 느낄 수 있습니다.",필리그리커피,,
율 디캐프 다크,,2,8,6,,7.0,"콜롬비아, 과테말라","구운밤, 잣, 밀크 초콜릿 같은 늬앙스가 매력적인 디카페인 커피입니다.",180커피로스터스,,
아이스브레이커,,8,10,8,,5.0,"콜롬비아, 브라질","센터커피의 시그니처 블렌드이며 스페셜티 커피의 맛과 향을 최대한 살린 블렌드 입니다. 스페셜티 전문 카페 및 납품처에 적합합니다. 첫 모금에서 사과, 흑설탕의 플레이버가 느껴지며, 두 번째 모금에서 마카다미아의 고소함과 더불어 자두의 플레이버가 느껴집니다. 바닐라 같은 단맛의 여운이 길게 느껴지며 밸런스가 좋습니다.",센터 커피,,
디카페인 에티오피아 블렌드,,8,10,6,,4.0,에티오피아,"검붉은 과일의 싱그러움과 믹스베리의 단맛이 어우러지는 조화로운 향미, 깔끔한 목넘김으로 차가운 음료에 잘 어울립니다.",디카커피랩,,
르완다 마헴베 워시드,,8,8,6,,4.0,르완다,"오렌지 같은 산미로 시작해서 은은하게 퍼지는 재스민의 향과 살구의 풍미, 꿀 같은 단맛이 길게 이어집니다.",폰트커피,,
디카페인 어텀 블렌드,,4,8,6,,5.0,"브라질, 콜롬비아, 과테말라","CUSP의 자신있는 중남미 디카페인 블랜딩 커피로서, 디카페인 특유의 향과 맛을 최대한 배제 하였으며, 갓 구운 군밤의 향기와 고소함 속에 카라멜과 카카오의 달콤함이 깃든 커피로, 누구나 마시기 좋은 균형잡힌 커피입니다. 한국인 입맛에 익숙한 고소하고 달달한 캐릭터로 라틴커피의 균형잡힌 맛을 선사합니다. 고소한 느낌의 디카페인 커피를 원하시는 고...",커스프 커피,,
하우스블렌드,,6,8,6,,6.0,"산토스, 시다모",땡큐로스터스 하우스 블렌드는 구운 견과류의 풍미가 좋고 깔끔한 단맛이 잘 어우러진 커피입니다. 고소한 풍미와 적당한 무게감으로 데일리 커피로 부담없이 즐기시기 좋습니다.,땡큐로스터스,4.0,6.0
R 블렌드,,6,6,6,,5.0,"과테말라, 브라질, 에티오피아",밸런스에 초점을 맞춘 중배전의 블렌딩 원두입니다. 달달한 꿀과 캐러멜스러운 단맛에 꽃 향이 맴도는 은은한 산미가 매력적입니다.,리플로우 커피 로스터스,,
피어투피어,,6,6,4,,5.0,"에티오피아, 과테말라, 케냐, 코스타리카","가족과 친구에게 건네 듯, 한 잔의 ‘차’와 같은 블렌딩입니다. 시트러스 한 과일 계열의 산미와 산미를 잘 받춰주는 단맛의 균형이 조화롭습니다. 부드럽고 편안하여 좋은 밸런스를 느낄 수 있는 데일리 커피 블렌딩입니다.",피어 커피로스터스,,
브릭 에스프레소,,4,8,6,,6.0,"과테말라, 콜롬비아, 인도",고소한 견과류의 맛과 흑설탕의 단맛 그리고 부드러운 촉감과 완벽한 밸런스를 가진 커피입니다.,리플렉트 커피 로스터스,,
브릴리,,2,10,8,,6.0,브라질,"바닐라, 건과일, 견과류, 크림 브륄레, 누룽지 사탕 등의 향미가 두드러집니다. 매일 먹어도 질리지 않는 마치 밥같은 커피로 누가 마셔도 좋습니다.",나무사이로,,
커넥츠 블렌드,,4,6,6,,5.0,"콜롬비아, 에티오피아, 코스타리카, 인도, 과테말라",브라운슈가의 단맛을 베이스로 건과일의 향미가 느껴지는 균형감이 뛰어난 스페셜티 블렌딩 입니다. * 이일용 로스터의 한마디 * 이 원두는 개발하기까지 1년이 넘는 시간이 걸렸습니다. 너무 과하지 않은 산미와 다채로운 향미를 담아내면서도 적당한 고소함도 갖춘 밸런스가 뛰어난 원두를 만들고 싶었습니다. 그렇게 다양한 시도를 하며 세차례 전문가와 비전문가 ...,커넥츠커피,,
Decaffeinated Blend,,6,6,8,,5.0,"에티오피아, 콜롬비아, 과테말라","FELT가 제안하는 카페인이 부담스러운 순간의 대안입니다. 흑설탕과 같은 단맛과 은은한 산미, 고소한 견과류의 풍미가 어우러지며 부드럽게 입안을 채워주는 디카페인 커피입니다.",펠트,,
블렌드 B,,8,6,6,,4.0,"에티오피아, 에티오피아","풍성한 과일의 산미와, 매우 부드러운 바디감을 느낄 수 있습니다. 산미를 선호 하시는 분들께 추천 드립니다.",리버벨,,
브루클린,,8,8,6,,4.0,"에티오피아, 에티오피아",상큼한 베리류의 과일 주스처럼 향이 다채로워요. 끝 맛에서 얼그레이 티를 느낄 수 있습니다.,언더프레셔,,
꼬수운돌솥밥 블렌딩,,2,10,8,,6.0,브라질,"꼬수운 돌솥밥은 백박집에서 나오는 돌솥밥을 모티브로 제작되었습니다. 쌉싸름한 단맛이 지배적으로, 확실하게 꼬수운 느낌이 잘 맞는커피로 특이점으로는 한가지 브라질 생두를 2가지 로스팅 포인트로 볶은 후 블렌딩을 한 점입니다. 강배전한 브라질에선 진한 쓴맛과 단맛이 중강배전 브라질에선 견과류의 고소함이 폭발적으로 표현됩니다. 땅콩같은 고소함은 은은하며...",원더월 커피 로스터스,,
블렌드 루트 블랙,,2,8,10,,6.0,"브라질, 과테말라, 코스타리카, 인도네시아","리프커피의 시그니처 블렌드로 중후한 단맛과 쌉쌀함을 느낄 수 있는 블렌드입니다. 카카오 함량이 높은 고메 초콜릿을 마시는 듯한 풍부한 맛입니다. 입 안에 묵직하게 느껴지는 질감과 견과류의 단맛, 부드러운 목넘김이 매력적입니다. 단맛과 쌉쌀함의 밸런스가 좋아 처음부터 끝까지 편안하게 마실 수 있습니다. 아주 살짝 느껴지는 산미는 맴돌았던 향미를 정돈하며...",리프커피,,
케냐 키린야가 캄완기 AA TOP,,6,10,4,,2.0,케냐,오렌지와 자몽향이 풍부하고 달콤합니다.,싸인포스트커피,,
보난자 블렌드,,6,8,4,,5.0,"브라질, 콜롬비아",하루에 몇 잔을 마셔도 질리지 않는 부드럽고 산뜻한 블렌드 커피입니다.,보난자커피 코리아,,
디카프 브라질 NY2/3 mountain water,,2,8,8,,6.0,브라질,전체적으로 구수하고 달콤하며 밸런스가 좋은 디카페인 커피입니다.,식물학 커피로스터스,,
디카페인 블렌드,,8,8,4,,6.0,"콜롬비아, 과테말라","카페인은 안녕, 풍미와 향미는 그대로 화산 빙하의 깨끗한 물과 탄소필터를 활용해 카페인만 99.9% 제거하여, 커피 본연의 풍미와 향을 해치지 않은 마운틴 워터 프로세스의 디카페인 커피입니다.",하우트 커피컴퍼니,,
웨이브온 블렌드,,4,6,6,,6.0,"과테말라, 브라질, 에티오피아",견과류의 고소한 단맛과 은은하게 퍼지는 산미로 밸런스가 좋은 커피입니다. 라떼와도 잘 어울려요.,웨이브온 커피,,
우일라 디카페인,,6,8,6,,6.0,콜롬비아,"말린 무화과, 건자두에 헤이즐넛의 달달한 향미를 더해 밸런스가 좋은 커피입니다.",스티머스 커피팩토리,,
젠틀레인,,4,10,8,,6.0,"브라질, 에티오피아","CQI의 Q-Grader이자 SCA CSP Diploma인 브니엘 커피 로스터스 대표가 직접 생두를 선별하여 섬세한 로스팅 프로파일로 깊은 단맛과 부드러운 바디, 무엇보다 누텔라의 풍부한 초콜레티를 담아냈습니다. 풍부한 바디와 부드러운 목넘김에 달큰한 단맛은 덤!!",브니엘 커피로스터스,,
센스 앤 센서빌리티,,8,8,6,,5.0,"에티오피아, 에티오피아","커피 맛에도 이성과 감성이 있다면 어떤 맛일까? 이성과 감성의 조화를 추구하며 사는 것이 인간의 삶이라면, 커피 맛에서 이성과 감성의 조화와 매칭되는 맛이란? 이런 물음에서 출발했습니다. “이성과 감성의 조화 = 산미와 단맛의 조화” 이 단순하면서도 어려운 답을 찾기 위한 여정을 시작했습니다. Bright & Sweet을 기본 컨셉으로 계속 발전시켜...",커피 몽타주,,
케냐 뚱구리 AA,,8,8,6,,2.0,케냐,"가공소 / 뚱구리 Thunguri Washing Station 생산자 / 키비리기 커피 농부 협동조합 Kibirigwi Coffee Farmers Cooperative 지역 / 키린야가 Kirinyaga 재배고도 / 1,700 ~ 1,800m 품종 / SL28, SL34, Ruiru11 가공방식 / 워시드 Washed 로스팅 포인트 / 라이...",영앤도터스,,
MAUNA LOA(마우나 로아),,4,8,8,,6.0,"에티오피아, 브라질","마우나 로아는 깊은 단맛과 풍부한 바디감을 극대화한 블렌드입니다. 강렬한 견과류와 초콜릿, 캐러멜, 플로럴 노트로 핫/아이스 아메리카노에서는 물론 라떼와 같은 우유 베이스 음료에서도 크림을 위한 멋진 캔버스가 되어줍니다.",마그마커피,,
